NFR,Rank,FR,Similarity
NFR1,1,FR10,0.250
NFR1,2,FR38,0.234
NFR1,3,FR53,0.192
NFR1,4,FR39,0.184
NFR1,5,FR9,0.171
NFR1,6,FR23,0.164
NFR1,7,FR17,0.119
NFR1,8,FR46,0.094
NFR1,9,FR25,0.090
NFR1,10,FR26,0.077
NFR1,11,FR50,0.068
NFR1,12,FR21,0.061
NFR1,13,FR51,0.056
NFR1,14,FR47,0.053
NFR1,15,FR33,0.049
NFR1,16,FR44,0.036
NFR1,17,FR34,0.030
NFR1,18,FR22,0.028
NFR1,19,FR56,0.024
NFR1,20,FR28,0.024
NFR1,21,FR27,0.023
NFR1,22,FR37,0.022
NFR1,23,FR36,0.021
NFR1,24,FR13,0.021
NFR1,25,FR2,0.020
NFR1,26,FR19,0.019
NFR1,27,FR15,0.018
NFR1,28,FR1,0.000
NFR1,29,FR3,0.000
NFR1,30,FR4,0.000
NFR1,31,FR5,0.000
NFR1,32,FR6,0.000
NFR1,33,FR7,0.000
NFR1,34,FR8,0.000
NFR1,35,FR11,0.000
NFR1,36,FR12,0.000
NFR1,37,FR14,0.000
NFR1,38,FR16,0.000
NFR1,39,FR18,0.000
NFR1,40,FR20,0.000
NFR1,41,FR24,0.000
NFR1,42,FR29,0.000
NFR1,43,FR30,0.000
NFR1,44,FR31,0.000
NFR1,45,FR32,0.000
NFR1,46,FR35,0.000
NFR1,47,FR40,0.000
NFR1,48,FR41,0.000
NFR1,49,FR42,0.000
NFR1,50,FR43,0.000
NFR1,51,FR45,0.000
NFR1,52,FR48,0.000
NFR1,53,FR49,0.000
NFR1,54,FR52,0.000
NFR1,55,FR54,0.000
NFR1,56,FR55,0.000
NFR1,57,FR57,0.000
NFR1,58,FR58,0.000
NFR1,59,FR59,0.000
NFR1,60,FR60,0.000
NFR2,1,FR9,0.150
NFR2,2,FR24,0.130
NFR2,3,FR28,0.071
NFR2,4,FR51,0.059
NFR2,5,FR1,0.000
NFR2,6,FR2,0.000
NFR2,7,FR3,0.000
NFR2,8,FR4,0.000
NFR2,9,FR5,0.000
NFR2,10,FR6,0.000
NFR2,11,FR7,0.000
NFR2,12,FR8,0.000
NFR2,13,FR10,0.000
NFR2,14,FR11,0.000
NFR2,15,FR12,0.000
NFR2,16,FR13,0.000
NFR2,17,FR14,0.000
NFR2,18,FR15,0.000
NFR2,19,FR16,0.000
NFR2,20,FR17,0.000
NFR2,21,FR18,0.000
NFR2,22,FR19,0.000
NFR2,23,FR20,0.000
NFR2,24,FR21,0.000
NFR2,25,FR22,0.000
NFR2,26,FR23,0.000
NFR2,27,FR25,0.000
NFR2,28,FR26,0.000
NFR2,29,FR27,0.000
NFR2,30,FR29,0.000
NFR2,31,FR30,0.000
NFR2,32,FR31,0.000
NFR2,33,FR32,0.000
NFR2,34,FR33,0.000
NFR2,35,FR34,0.000
NFR2,36,FR35,0.000
NFR2,37,FR36,0.000
NFR2,38,FR37,0.000
NFR2,39,FR38,0.000
NFR2,40,FR39,0.000
NFR2,41,FR40,0.000
NFR2,42,FR41,0.000
NFR2,43,FR42,0.000
NFR2,44,FR43,0.000
NFR2,45,FR44,0.000
NFR2,46,FR45,0.000
NFR2,47,FR46,0.000
NFR2,48,FR47,0.000
NFR2,49,FR48,0.000
NFR2,50,FR49,0.000
NFR2,51,FR50,0.000
NFR2,52,FR52,0.000
NFR2,53,FR53,0.000
NFR2,54,FR54,0.000
NFR2,55,FR55,0.000
NFR2,56,FR56,0.000
NFR2,57,FR57,0.000
NFR2,58,FR58,0.000
NFR2,59,FR59,0.000
NFR2,60,FR60,0.000
NFR3,1,FR2,0.416
NFR3,2,FR1,0.125
NFR3,3,FR3,0.000
NFR3,4,FR4,0.000
NFR3,5,FR5,0.000
NFR3,6,FR6,0.000
NFR3,7,FR7,0.000
NFR3,8,FR8,0.000
NFR3,9,FR9,0.000
NFR3,10,FR10,0.000
NFR3,11,FR11,0.000
NFR3,12,FR12,0.000
NFR3,13,FR13,0.000
NFR3,14,FR14,0.000
NFR3,15,FR15,0.000
NFR3,16,FR16,0.000
NFR3,17,FR17,0.000
NFR3,18,FR18,0.000
NFR3,19,FR19,0.000
NFR3,20,FR20,0.000
NFR3,21,FR21,0.000
NFR3,22,FR22,0.000
NFR3,23,FR23,0.000
NFR3,24,FR24,0.000
NFR3,25,FR25,0.000
NFR3,26,FR26,0.000
NFR3,27,FR27,0.000
NFR3,28,FR28,0.000
NFR3,29,FR29,0.000
NFR3,30,FR30,0.000
NFR3,31,FR31,0.000
NFR3,32,FR32,0.000
NFR3,33,FR33,0.000
NFR3,34,FR34,0.000
NFR3,35,FR35,0.000
NFR3,36,FR36,0.000
NFR3,37,FR37,0.000
NFR3,38,FR38,0.000
NFR3,39,FR39,0.000
NFR3,40,FR40,0.000
NFR3,41,FR41,0.000
NFR3,42,FR42,0.000
NFR3,43,FR43,0.000
NFR3,44,FR44,0.000
NFR3,45,FR45,0.000
NFR3,46,FR46,0.000
NFR3,47,FR47,0.000
NFR3,48,FR48,0.000
NFR3,49,FR49,0.000
NFR3,50,FR50,0.000
NFR3,51,FR51,0.000
NFR3,52,FR52,0.000
NFR3,53,FR53,0.000
NFR3,54,FR54,0.000
NFR3,55,FR55,0.000
NFR3,56,FR56,0.000
NFR3,57,FR57,0.000
NFR3,58,FR58,0.000
NFR3,59,FR59,0.000
NFR3,60,FR60,0.000
